run,label,model,tp,pp,ep,mode,workload,input_len,output_len,concurrency,completed,failed,output_tok_per_s,ttft_s_p50,ttft_s_p95,itl_ms_p50,itl_ms_p95,itl_ms_mean,total_output_tokens,total_input_tokens,wire_tx_bytes,wire_rx_bytes,bytes_per_output_token,bytes_per_total_token,pred_bytes_per_token,pred_tp_bytes,pred_ep_bytes,pred_pp_bytes,is_moe,gpu_util_mean,net_gbps_mean,net_gbps_peak,net_burstiness,net_samples,hw_out_of_sequence,hw_packet_seq_err,hw_local_ack_timeout_err,hw_np_cnp_sent,hw_rp_cnp_handled,hw_np_ecn_marked_roce_packets
p1_l70_pp2_dual_decode_in128_out1024_c1,l70_pp2,Llama-3.3-70B-Instruct,1,2,0,dual,decode,128,1024,1,8,0,1.661942038447891,0.6405900362879038,0.6431676940992475,593.3608412742615,673.5520530492067,601.6679350976339,8192,976,474416420,474416424,57912.16064453125,51746.99171029669,16384.0,0,0.0,16384,False,47.97621002788329,0.001,0.034,66.8,7283,0,0,0,0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c32,l70_pp2,Llama-3.3-70B-Instruct,1,2,0,dual,decode,128,1024,32,64,0,40.29857517493306,1.5653454600833356,1.8931520930491388,715.2212401852012,1575.719194021076,793.1600674648332,65536,7808,2462935508,2462935512,37581.41339111328,33580.5997491274,16384.0,0,0.0,16384,False,47.96784268119203,0.005,0.085,17.66,4047,0,0,0,0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c8,l70_pp2,Llama-3.3-70B-Instruct,1,2,0,dual,decode,128,1024,8,32,0,10.284997987279638,1.3681104388087988,1.7186316521838307,651.5055629424751,1790.5424400232732,777.0604874657588,32768,3904,1747437104,1747437100,53327.54833984375,47650.444589877836,16384.0,0,0.0,16384,False,47.98050422898806,0.002,0.021,8.68,5586,0,0,0,0,0,0
p1_l70_pp2_dual_prefill_in4096_out32_c1,l70_pp2,Llama-3.3-70B-Instruct,1,2,0,dual,prefill,4096,32,1,8,0,1.6308098537180375,0.667053631041199,1.8072679489850998,598.2004650868475,679.7730647958815,606.8676569228692,256,31048,112058688,112058684,437729.25,3579.6923076923076,16384.0,0,0.0,16384,False,47.30327868852459,0.004,0.545,147.2,240,0,0,0,0,0,0
p1_l70_pp2_dual_prefill_in4096_out32_c8,l70_pp2,Llama-3.3-70B-Instruct,1,2,0,dual,prefill,4096,32,8,32,0,9.910395225818485,1.414805965963751,3.325461318716407,656.5001737326384,1707.856038119644,773.6082088808724,1024,124192,56219368,56219368,54901.7265625,448.9791081012011,16384.0,0,0.0,16384,False,47.17934782608695,0.002,0.018,7.21,181,0,0,0,0,0,0
p1_l70_pp4_dual_decode_in128_out1024_c1,l70_pp4,Llama-3.3-70B-Instruct,1,4,0,dual,decode,128,1024,1,8,0,1.669992853290851,0.635066132992506,0.636013844050467,595.585695002228,634.2811123467982,598.7696233511614,8192,976,1420171768,1420171760,173360.8115234375,154905.29755671902,49152.0,0,0.0,49152,False,95.95460871597798,0.002,0.069,44.82,7276,0,0,0,0,0,0
p1_l70_pp4_dual_decode_in128_out1024_c32,l70_pp4,Llama-3.3-70B-Instruct,1,4,0,dual,decode,128,1024,32,64,0,44.569657966417026,1.4627695279195905,1.7340602451004088,703.0696338042617,725.1684595830739,717.2106523383188,65536,7808,7383948152,7383948156,112670.10729980469,100675.55835514834,49152.0,0,0.0,49152,False,95.91136557991285,0.015,0.193,12.81,3874,0,0,0,0,0,0
p1_l70_pp4_dual_decode_in128_out1024_c8,l70_pp4,Llama-3.3-70B-Instruct,1,4,0,dual,decode,128,1024,8,32,0,11.471743021824121,1.3119608401320875,2.268947606906295,644.4111820310354,1167.9541184566915,696.5959429935955,32768,3904,4323463620,4323463624,131941.6387939453,117895.4957460733,49152.0,0,0.0,49152,False,95.94437649567975,0.007,0.044,6.79,5254,0,0,0,0,0,0
p1_l70_pp4_dual_prefill_in4096_out32_c1,l70_pp4,Llama-3.3-70B-Instruct,1,4,0,dual,prefill,4096,32,1,8,0,1.6619574928639025,0.6611769017763436,0.6649748720228672,599.4960898533463,603.0603642575443,599.7841966379765,256,31048,335889932,335889928,1312070.046875,10729.93649373882,49152.0,0,0.0,49152,False,94.82773109243698,0.011,0.728,64.06,234,0,0,0,0,0,0
p1_l70_pp4_dual_prefill_in4096_out32_c8,l70_pp4,Llama-3.3-70B-Instruct,1,4,0,dual,prefill,4096,32,8,32,0,11.93550370276498,1.1019686227664351,1.5883889170363545,649.5643178932369,652.1259299479425,651.602365999415,1024,124192,168656816,168656816,164703.921875,1346.927038078201,49152.0,0,0.0,49152,False,94.2,0.008,0.057,7.01,163,0,0,0,0,0,0
