run,label,model,tp,pp,ep,mode,workload,input_len,output_len,concurrency,completed,failed,output_tok_per_s,ttft_s_p50,ttft_s_p95,itl_ms_p50,itl_ms_p95,itl_ms_mean,total_output_tokens,total_input_tokens,wire_tx_bytes,wire_rx_bytes,bytes_per_output_token,bytes_per_total_token,pred_bytes_per_token,pred_tp_bytes,pred_ep_bytes,pred_pp_bytes,is_moe,gpu_util_mean,net_gbps_mean,net_gbps_peak,net_burstiness,net_samples,hw_out_of_sequence,hw_packet_seq_err,hw_local_ack_timeout_err,hw_np_cnp_sent,hw_rp_cnp_handled,hw_np_ecn_marked_roce_packets,nodes,num_prompts,token_passes,bytes_per_token_pass,h,layers,gb_per_token_total,msg_bytes,phase0_proto,wire_factor,pred_wire_bytes,ratio_raw,ratio_proto_corrected,gpu_util_active,gb_read_critical_path,roofline_tok_s,measured_tok_s,roofline_efficiency,railB_share,node_imbalance
p1_l70_pp2_dual_decode_in128_out1024_c1,l70_pp2,Llama-3.3-70B-Instruct,1,2,0,dual,decode,128,1024,1,8,0,1.661942038447891,0.6405900362879038,0.6431676940992475,593.3608412742615,673.5520530492067,601.6679350976339,8192,976,474416420,474416424,57912.16064453125,51746.99171029669,16384.0,0,0.0,16384,False,47.97621002788329,0.001,0.034,66.8,7283,0,0,0,0,0,0,2,8,13824,34318.31741898148,8192,80,140.0,16384,Ring/LL,2.0,32768.0,2.0946238659046315,1.0473119329523157,95.95242005576658,140.0,1.95,1.68531512435581,0.8642641663363129,1.0857651174889773,15.308352076059741
p1_l70_pp2_dual_decode_in128_out1024_c32,l70_pp2,Llama-3.3-70B-Instruct,1,2,0,dual,decode,128,1024,32,64,0,40.29857517493306,1.5653454600833356,1.8931520930491388,715.2212401852012,1575.719194021076,793.1600674648332,65536,7808,2462935508,2462935512,37581.41339111328,33580.5997491274,16384.0,0,0.0,16384,False,47.96784268119203,0.005,0.085,17.66,4047,0,0,0,0,0,0,2,64,78336,31440.659569035946,8192,80,140.0,524288,Ring/LL128,1.067,17481.728,1.9189855693991666,1.7984869441416746,95.93568536238406,140.0,1.95,1.3981687676683896,0.717009624445328,45.16285921360796,76.7309954890225
p1_l70_pp2_dual_decode_in128_out1024_c8,l70_pp2,Llama-3.3-70B-Instruct,1,2,0,dual,decode,128,1024,8,32,0,10.284997987279638,1.3681104388087988,1.7186316521838307,651.5055629424751,1790.5424400232732,777.0604874657588,32768,3904,1747437104,1747437100,53327.54833984375,47650.44458987784,16384.0,0,0.0,16384,False,47.98050422898806,0.002,0.021,8.68,5586,0,0,0,0,0,0,2,32,41472,42135.346836419754,8192,80,140.0,131072,Ring/LL,2.0,32768.0,2.571737477808823,1.2858687389044114,95.96100845797612,140.0,1.95,1.5349063106745804,0.7871314413715798,0.43748275588864916,48.565102098425115
p1_l70_pp2_dual_prefill_in4096_out32_c1,l70_pp2,Llama-3.3-70B-Instruct,1,2,0,dual,prefill,4096,32,1,8,0,1.6308098537180375,0.667053631041199,1.8072679489851,598.2004650868475,679.7730647958815,606.8676569228692,256,31048,112058688,112058684,437729.25,3579.692307692308,16384.0,0,0.0,16384,False,47.30327868852459,0.004,0.545,147.2,240,0,0,0,0,0,0,2,8,49536,2262.1666666666665,8192,80,140.0,16384,Ring/LL,2.0,32768.0,0.13807169596354166,0.06903584798177083,94.60655737704919,140.0,1.95,1.6716804121087045,0.8572720062095921,43.67279759691636,81.22607960599115
p1_l70_pp2_dual_prefill_in4096_out32_c8,l70_pp2,Llama-3.3-70B-Instruct,1,2,0,dual,prefill,4096,32,8,32,0,9.910395225818483,1.414805965963751,3.325461318716407,656.5001737326384,1707.856038119644,773.6082088808724,1024,124192,56219368,56219368,54901.7265625,448.9791081012011,16384.0,0,0.0,16384,False,47.17934782608695,0.002,0.018,7.21,181,0,0,0,0,0,0,2,32,148608,378.30647071490097,8192,80,140.0,131072,Ring/LL,2.0,32768.0,0.02308999455047003,0.011544997275235015,94.3586956521739,140.0,1.95,1.5232288429024132,0.7811429963602119,11.537625253987203,46.447309432178784
p1_l70_pp4_dual_decode_in128_out1024_c1,l70_pp4,Llama-3.3-70B-Instruct,1,4,0,dual,decode,128,1024,1,8,0,1.669992853290851,0.635066132992506,0.636013844050467,595.585695002228,634.2811123467982,598.7696233511614,8192,976,1420171768,1420171760,173360.8115234375,154905.29755671902,49152.0,0,0.0,49152,False,95.95460871597798,0.002,0.069,44.82,7276,0,0,0,0,0,0,4,8,13824,102732.33275462964,8192,80,140.0,16384,Ring/LL,2.0,98304.0,2.090094660535271,1.0450473302676355,95.95460871597798,140.0,1.95,1.6790195070018583,0.8610356446163376,1.0830785646205017,16.092075351019332
p1_l70_pp4_dual_decode_in128_out1024_c32,l70_pp4,Llama-3.3-70B-Instruct,1,4,0,dual,decode,128,1024,32,64,0,44.56965796641703,1.4627695279195905,1.7340602451004088,703.0696338042617,725.1684595830739,717.2106523383188,65536,7808,7383948152,7383948156,112670.10729980467,100675.55835514834,49152.0,0,0.0,49152,False,95.91136557991284,0.015,0.193,12.81,3874,0,0,0,0,0,0,4,64,78336,94259.95904820261,8192,80,140.0,524288,Ring/LL128,1.067,52445.183999999994,1.9177237762085493,1.79730438257596,95.91136557991284,140.0,1.95,1.4223342211340695,0.7294021646841382,45.16172994926522,77.72101536483119
p1_l70_pp4_dual_decode_in128_out1024_c8,l70_pp4,Llama-3.3-70B-Instruct,1,4,0,dual,decode,128,1024,8,32,0,11.47174302182412,1.3119608401320877,2.268947606906295,644.4111820310354,1167.9541184566915,696.5959429935955,32768,3904,4323463620,4323463624,131941.6387939453,117895.4957460733,49152.0,0,0.0,49152,False,95.94437649567976,0.007,0.044,6.79,5254,0,0,0,0,0,0,4,32,41472,104250.18373842593,8192,80,140.0,131072,Ring/LL,2.0,98304.0,2.120975417855345,1.0604877089276725,95.94437649567976,140.0,1.95,1.5518042328940207,0.7957970425097542,0.49078539488207834,39.595477931781026
p1_l70_pp4_dual_prefill_in4096_out32_c1,l70_pp4,Llama-3.3-70B-Instruct,1,4,0,dual,prefill,4096,32,1,8,0,1.6619574928639025,0.6611769017763436,0.6649748720228672,599.4960898533463,603.0603642575443,599.7841966379765,256,31048,335889932,335889928,1312070.046875,10729.93649373882,49152.0,0,0.0,49152,False,94.82773109243698,0.011,0.728,64.06,234,0,0,0,0,0,0,4,8,49536,6780.723756459948,8192,80,140.0,16384,Ring/LL,2.0,98304.0,0.1379541779878733,0.06897708899393665,94.82773109243698,140.0,1.95,1.6680675936429012,0.8554192787912315,43.64846160378514,85.63800313883374
p1_l70_pp4_dual_prefill_in4096_out32_c8,l70_pp4,Llama-3.3-70B-Instruct,1,4,0,dual,prefill,4096,32,8,32,0,11.93550370276498,1.1019686227664351,1.5883889170363543,649.5643178932369,652.1259299479425,651.602365999415,1024,124192,168656816,168656816,164703.921875,1346.927038078201,49152.0,0,0.0,49152,False,94.2,0.008,0.057,7.01,163,0,0,0,0,0,0,4,32,148608,1134.910745047373,8192,80,140.0,131072,Ring/LL,2.0,98304.0,0.02308981821792344,0.01154490910896172,94.2,140.0,1.95,1.5394934303709107,0.7894838104466209,11.566775931546104,46.345421314304
p1_l70_tp2_dual_decode_in128_out1024_c1,l70_tp2,Llama-3.3-70B-Instruct,2,1,0,dual,decode,128,1024,1,8,0,3.308082783419496,0.363165333867073,0.3715696758590638,298.5208057798445,331.2016003765166,302.22932812283256,8192,976,148631004044,148631004040,18143433.110839844,16211933.2508726,5242880.0,5242880,0.0,0,False,47.92512591247904,0.32,5.368,16.78,3668,0,0,0,0,0,0,2,8,13824,10751664.065682871,8192,80,140.0,16384,Ring/LL,2.0,10485760.0,2.050717175613951,1.0253585878069755,95.85025182495808,70.0,3.9,3.3498502638288064,0.8589359650843094,49.97217541369245,1.0000000959692144
p1_l70_tp2_dual_decode_in128_out1024_c32,l70_tp2,Llama-3.3-70B-Instruct,2,1,0,dual,decode,128,1024,32,64,0,78.58037279517305,1.2300038947723806,2.7836882998235524,370.2758150175214,564.1881846822798,405.6769970592064,65536,7808,536185098340,536185098340,8181535.314025879,7310551.624400088,5242880.0,5242880,0.0,0,False,47.89113100228839,2.033,10.52,5.17,2080,0,0,0,0,0,0,2,64,78336,6844683.138531454,8192,80,140.0,524288,Ring/LL128,1.067,5594152.96,1.305519702631274,1.2235423642279981,95.78226200457678,70.0,3.9,2.7006894845472966,0.6924844832172555,49.98059871892709,1.0000402607730376
p1_l70_tp2_dual_decode_in128_out1024_c8,l70_tp2,Llama-3.3-70B-Instruct,2,1,0,dual,decode,128,1024,8,32,0,23.33521922939361,1.1194384833797812,1.1365743670612574,328.5120693035424,337.580107152462,342.079831525316,32768,3904,291781603492,291781603492,8904467.880004883,7956522.782831588,5242880.0,5242880,0.0,0,False,47.91825014609919,0.882,2.872,3.26,2610,0,0,0,0,0,0,2,32,41472,7035628.94222608,8192,80,140.0,131072,Ring/LL,2.0,10485760.0,1.341939724393097,0.6709698621965485,95.83650029219838,70.0,3.9,3.0440281908668885,0.7805200489402279,49.97461494449494,1.0000066712858855
p1_l70_tp2_dual_prefill_in4096_out32_c1,l70_tp2,Llama-3.3-70B-Instruct,2,1,0,dual,prefill,4096,32,1,8,0,3.211508017589676,0.372457361780107,0.3931792397052049,300.8859092369676,379.0028500370681,309.2892068032656,256,31048,20468101436,20468101440,79953521.234375,653849.3941988244,5242880.0,5242880,0.0,0,False,46.78769841269842,1.304,37.751,28.95,124,0,0,0,0,0,0,2,8,49536,413196.49216731265,8192,80,140.0,16384,Ring/LL,2.0,10485760.0,0.07881097644182447,0.039405488220912235,93.57539682539684,70.0,3.9,3.323518879750642,0.8521843281411903,49.90120319628457,1.0000144971995468
p1_l70_tp2_dual_prefill_in4096_out32_c8,l70_tp2,Llama-3.3-70B-Instruct,2,1,0,dual,prefill,4096,32,8,32,0,21.755165856004517,1.254713164176792,1.2753461939282715,329.56131314858794,336.73981158062816,339.8361501482037,1024,124192,11559425684,11559425684,11288501.64453125,92315.88362509584,5242880.0,5242880,0.0,0,False,46.45,1.037,4.201,4.05,88,0,0,0,0,0,0,2,32,148608,77784.67972114557,8192,80,140.0,131072,Ring/LL,2.0,10485760.0,0.014836250251988519,0.0074181251259942595,92.9,70.0,3.9,3.034336738272232,0.7780350610954441,49.97753225747543,1.0000043773896845
p1_l70_tp2pp2_dual_decode_in128_out1024_c1,l70_tp2pp2,Llama-3.3-70B-Instruct,2,2,0,dual,decode,128,1024,1,8,0,3.19635080215144,0.3803672580979764,0.3850520718842745,312.6987088471651,315.3817290440202,312.79229633320074,8192,976,150157020292,150157020296,18329714.39111328,16378383.539703315,5259264.0,5242880,0.0,16384,False,95.84611385495192,0.312,5.16,16.53,3803,0,0,0,0,0,0,4,8,13824,10862052.972511575,8192,80,140.0,16384,Ring/LL,2.0,10518528.0,2.0653180696978843,1.0326590348489422,95.84611385495192,70.0,3.9,3.197966514434061,0.8199914139574516,49.7992573391415,1.0406008008658894
p1_l70_tp2pp2_dual_decode_in128_out1024_c32,l70_tp2pp2,Llama-3.3-70B-Instruct,2,2,0,dual,decode,128,1024,32,64,0,48.15039214778655,1.1491859392262995,1.206918406765908,664.2342288978398,676.4136389829218,664.0834347007808,65536,7808,563446194484,563446194484,8597506.629699707,7682239.7808137,5259264.0,5242880,0.0,16384,False,95.87296939931998,1.702,9.845,5.78,2616,0,0,0,0,0,0,4,64,78336,7192685.284977533,8192,80,140.0,524288,Ring/LL128,1.067,5611634.688,1.3676220256251699,1.281745103678697,95.87296939931998,70.0,3.9,1.5054930271499174,0.38602385311536347,49.954457845928836,1.0570223739222024
p1_l70_tp2pp2_dual_decode_in128_out1024_c8,l70_tp2pp2,Llama-3.3-70B-Instruct,2,2,0,dual,decode,128,1024,8,32,0,14.432642766580644,1.0626692869700491,1.100964013021439,624.2717769928277,630.4989350028336,553.8569646443384,32768,3904,331269792640,331269792640,10109551.77734375,9033316.771378707,5259264.0,5242880,0.0,16384,False,95.88965172262866,0.745,3.669,4.92,3513,0,0,0,0,0,0,4,32,41472,7987793.99691358,8192,80,140.0,131072,Ring/LL,2.0,10518528.0,1.5188045317583563,0.7594022658791781,95.88965172262866,70.0,3.9,1.6018664255768351,0.4107349809171372,49.7567616408431,1.0647441753317424
p1_l70_tp2pp2_dual_prefill_in4096_out32_c1,l70_tp2pp2,Llama-3.3-70B-Instruct,2,2,0,dual,prefill,4096,32,1,8,0,3.1499391736086384,0.3931262218393385,0.4047485408373177,314.83022309839725,318.10326082631946,315.0393709300026,256,31048,20728775736,20728775732,80971780.21875,662176.5824175824,5259264.0,5242880,0.0,16384,False,93.345703125,1.311,46.059,35.15,125,0,0,0,0,0,0,4,8,49536,418458.8125,8192,80,140.0,16384,Ring/LL,2.0,10518528.0,0.07956604051441418,0.03978302025720709,93.345703125,70.0,3.9,3.176315126796004,0.8144397761015395,49.849964549782904,1.0017801519107588
p1_l70_tp2pp2_dual_prefill_in4096_out32_c8,l70_tp2pp2,Llama-3.3-70B-Instruct,2,2,0,dual,prefill,4096,32,8,32,0,12.55346003648614,1.1434595049358904,1.1974715050309896,630.233523901552,633.2449931651354,621.0363546509349,1024,124192,13093426508,13093426512,12786549.32421875,104566.72077050856,5259264.0,5242880,0.0,16384,False,93.794,0.844,4.306,5.1,122,0,0,0,0,0,0,4,32,148608,88107.14435292852,8192,80,140.0,131072,Ring/LL,2.0,10518528.0,0.016752751782935504,0.008376375891467752,93.794,70.0,3.9,1.5867134356950026,0.4068495988961545,49.78784968180004,1.0473082557699493
p1_l70_tp4_dual_decode_in128_out1024_c1,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,dual,decode,128,1024,1,8,0,5.832888514294528,0.2531591723673045,0.2583671598695218,166.91961279138923,202.0945861004293,171.3628561347145,8192,976,449811470948,449811470940,54908626.82470703,49063205.818935424,15728640.0,15728640,0.0,0,False,95.47479287868951,1.706,18.643,10.93,2080,0,0,0,0,0,0,4,8,13824,32538445.525752313,8192,80,140.0,16384,Ring/LL,2.0,31457280.0,2.0687386529129226,1.0343693264564613,95.47479287868951,35.0,7.8,5.990907738623669,0.7680650946953422,2.2032036362064376,1.002967848290152
p1_l70_tp4_dual_decode_in128_out1024_c32,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,dual,decode,128,1024,32,64,0,122.65143335634806,0.9091825759969652,0.9210083507932724,242.85369971767068,418.2363790459931,260.26675715059844,65536,7808,1963364362660,1963364362664,29958562.66265869,26769256.689845115,15728640.0,15728640,0.0,0,False,95.47031502423263,12.673,38.923,3.07,1220,0,0,0,0,0,0,4,64,78336,25063372.685100082,8192,80,140.0,524288,Ring/LL128,1.067,16782458.88,1.59348632081986,1.4934267299155202,95.47031502423263,35.0,7.8,4.117705438140531,0.5279109536077604,46.33512798059987,1.0005516363617648
p1_l70_tp4_dual_decode_in128_out1024_c8,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,dual,decode,128,1024,8,32,0,38.74107902425474,0.8118996280245483,0.897744479123503,191.056227311492,344.0346010029316,205.8948919690768,32768,3904,1317460587252,1317460587256,40205706.39807129,35925517.75883508,15728640.0,15728640,0.0,0,False,95.5376250493958,6.797,15.715,2.31,1530,0,0,0,0,0,0,4,32,41472,31767471.72193287,8192,80,140.0,131072,Ring/LL,2.0,31457280.0,2.0197214585579473,1.0098607292789736,95.5376250493958,35.0,7.8,5.234061271238398,0.6710334963126151,44.53600662740504,1.002157348445248
p1_l70_tp4_dual_prefill_in4096_out32_c1,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,dual,prefill,4096,32,1,8,0,5.617273719161337,0.2625490622594952,0.3485143268480897,168.0702310986817,205.4998581297696,174.95025481255124,256,31048,62619052916,62619052912,244605675.453125,2000353.0831842576,15728640.0,15728640,0.0,0,False,92.28125,7.072,157.929,22.33,70,0,0,0,0,0,0,4,8,49536,1264112.0178456071,8192,80,140.0,16384,Ring/LL,2.0,31457280.0,0.08037007763198897,0.04018503881599449,92.28125,35.0,7.8,5.949893645430014,0.7628068776192326,39.50509610099706,1.0005858078538759
p1_l70_tp4_dual_prefill_in4096_out32_c8,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,dual,prefill,4096,32,8,32,0,36.624445932242246,0.917073184158653,0.9494650978595018,192.3559908755124,204.39723040908572,197.0048104135898,1024,124192,50100470816,50100470820,48926241.03125,400112.3723485817,15728640.0,15728640,0.0,0,False,90.02314814814815,7.605,19.174,2.52,52,0,0,0,0,0,0,4,32,148608,337131.72114556417,8192,80,140.0,131072,Ring/LL,2.0,31457280.0,0.021434257580157226,0.010717128790078613,90.02314814814815,35.0,7.8,5.198694334647331,0.6664992736727348,45.4958582239923,1.0007065465056089
p1_l70_tp4_tcp_decode_in128_out1024_c1,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,tcp,decode,128,1024,1,8,0,2.9998177028853465,0.559528521989705,0.5979214509861777,333.3746819989756,385.650269992766,333.1513862704085,8192,976,0,0,0.0,0.0,15728640.0,15728640,0.0,0,False,95.85469827824484,0.0,0.0,,4034,0,0,0,0,0,0,4,8,13824,0.0,8192,80,140.0,16384,Ring/LL,2.0,31457280.0,0.0,0.0,95.85469827824484,35.0,7.8,2.9996279081657224,0.384567680534067,,
p1_l70_tp4_tcp_decode_in128_out1024_c32,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,tcp,decode,128,1024,32,64,0,38.83829350268391,2.533559443996637,2.566612249007449,831.859104000614,880.489948001923,822.2526110178712,65536,7808,0,0,0.0,0.0,15728640.0,15728640,0.0,0,False,95.90342271244631,0.0,0.0,,2995,0,0,0,0,0,0,4,64,78336,0.0,8192,80,140.0,524288,Ring/LL128,1.067,16782458.88,0.0,0.0,95.90342271244631,35.0,7.8,1.2021266524472176,0.15411880159579713,,
p1_l70_tp4_tcp_decode_in128_out1024_c8,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,tcp,decode,128,1024,8,32,0,15.502547848679995,1.9874988259980453,2.238483267006813,506.8588249996537,576.5903220017208,514.5995784845416,32768,3904,0,0,0.0,0.0,15728640.0,15728640,0.0,0,False,95.91671498985212,0.0,0.0,,3409,0,0,0,0,0,0,4,32,41472,0.0,8192,80,140.0,131072,Ring/LL,2.0,31457280.0,0.0,0.0,95.91671498985212,35.0,7.8,1.9729359550969312,0.25294050706370913,,
