run,host,dev,tx_bytes,rx_bytes
p1_l70_pp2_dual_decode_in128_out1024_c1,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c1,edgexpert-7afa,rocep1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c1,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c1,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c1,edgexpert-8277,roceP2p1s0f0,5099356,51692
p1_l70_pp2_dual_decode_in128_out1024_c1,edgexpert-8277,rocep1s0f0,440226668,29038704
p1_l70_pp2_dual_decode_in128_out1024_c1,edgexpert-82e3,roceP2p1s0f0,51692,5099356
p1_l70_pp2_dual_decode_in128_out1024_c1,edgexpert-82e3,rocep1s0f0,29038704,440226672
p1_l70_pp2_dual_decode_in128_out1024_c32,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c32,edgexpert-7afa,rocep1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c32,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c32,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c32,edgexpert-8277,roceP2p1s0f0,1105736188,6595912
p1_l70_pp2_dual_decode_in128_out1024_c32,edgexpert-8277,rocep1s0f0,1325513948,25089464
p1_l70_pp2_dual_decode_in128_out1024_c32,edgexpert-82e3,roceP2p1s0f0,6595908,1105736188
p1_l70_pp2_dual_decode_in128_out1024_c32,edgexpert-82e3,rocep1s0f0,25089464,1325513948
p1_l70_pp2_dual_decode_in128_out1024_c8,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c8,edgexpert-7afa,rocep1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c8,edgexpert-7d4c,roceP2p1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c8,edgexpert-7d4c,rocep1s0f0,0,0
p1_l70_pp2_dual_decode_in128_out1024_c8,edgexpert-8277,roceP2p1s0f0,7540544,104188
p1_l70_pp2_dual_decode_in128_out1024_c8,edgexpert-8277,rocep1s0f0,1704641168,35151200
p1_l70_pp2_dual_decode_in128_out1024_c8,edgexpert-82e3,roceP2p1s0f0,104192,7540544
p1_l70_pp2_dual_decode_in128_out1024_c8,edgexpert-82e3,rocep1s0f0,35151200,1704641168
p1_l70_pp2_dual_prefill_in4096_out32_c1,edgexpert-7afa,roceP2p1s0f0,0,0
p1_l70_pp2_dual_prefill_in4096_out32_c1,edgexpert-7afa,rocep1s0f0,0,0
p1_l70_pp2_dual_prefill_in4096_out32_c1,edgexpert-7d4c,roceP2p1s0f0,0,0
