run,rail,streams,mode,gbps_sent,gbps_recv,retransmits,cpu_host_pct
iperf_node2_node3_rB_P8,B,8,single,111.03160074556986,111.02459758112224,0,162.21250056351124
iperf_node2_node3_rA_P8,A,8,single,111.02911826735834,111.0231618177786,0,158.52988017565994
iperf_node2_node1_rB_P8,B,8,single,110.99527218150487,110.98452986945468,0,163.8759860228748
iperf_node2_node4_rB_P8,B,8,single,111.03259617573349,111.02454205199673,0,172.43945937764056
iperf_node2_node4_rA_P8,A,8,single,111.029637600903,111.02353680060963,0,170.25925808199878
iperf_node2_node1_rA_P8,A,8,single,111.02428911586767,111.01630023044692,0,174.81182171335942
iperf_node4_node3_rA_P8,A,8,single,110.9688701217177,110.9616755988658,0,158.3483001765637
iperf_node4_node2_rA_P8,A,8,single,111.0633660260571,111.05714145002528,0,155.74943103986337
iperf_node4_node1_rA_P8,A,8,single,110.98697809712162,110.97990894023133,0,166.26674764597053
iperf_node4_node2_rB_P8,B,8,single,111.04075813970115,111.0344758574002,0,159.57263849157422
iperf_node4_node1_rB_P8,B,8,single,111.01201449212108,111.00440326151032,0,161.80212779345172
iperf_node4_node3_rB_P8,B,8,single,110.55421660794931,110.53635912154877,0,149.78956228114808
iperf_node3_node2_rA_P8,A,8,single,110.90400410837273,110.89766003990515,0,171.9348954439584
iperf_node3_node4_rB_P8,B,8,single,110.9921108237997,110.98329382775006,0,171.853873867805
iperf_node3_node1_rA_P8,A,8,single,111.03525067399863,111.02920954635468,0,162.69125055749655
iperf_node3_node1_rB_P8,B,8,single,110.99256290128852,110.98714413265148,0,154.9403115195541
iperf_node3_node2_rB_P8,B,8,single,111.01374272443122,111.00616619709254,0,157.1817201791418
iperf_node3_node4_rA_P8,A,8,single,111.02732481708871,111.01928674174462,0,164.36109399657676
iperf_dd_dual,A,8,dual,103.42874916251249,103.42501006822572,0,164.18247474266806
iperf_dd_dual,B,8,dual,82.9544989462478,82.94802139967095,0,146.19561031895793
iperf_dd_rB_P1_rep2,B,1,single,40.89391884095032,40.890593259152865,0,42.72923870314917
iperf_dd_rA_P8_rep2,A,8,single,110.99604196385509,110.99191968746013,0,162.55674131114023
iperf_dd_rA_P4_rep3,A,4,single,110.71935606123482,110.7160253295571,0,157.01375088310647
iperf_node1_node2_rA_P8,A,8,single,111.05374377667854,111.04662292893389,0,163.73967630390726
iperf_dd_rA_P8_rep3,A,8,single,111.07183821534724,111.06676311076066,0,160.28475487450024
iperf_node1_node4_rA_P8,A,8,single,111.01220072311774,111.004303730724,0,168.3398636371202
iperf_dd_rB_P1_rep3,B,1,single,50.619627064728796,50.615262178985915,0,46.65969294658026
iperf_dd_rB_P1_rep1,B,1,single,41.662221764169,41.6610747481384,0,21.73445206302378
iperf_dd_rA_P4_rep2,A,4,single,110.42252812985274,110.42015606048491,0,157.6187387694265
iperf_dd_rA_bidir,A,,bidir,87.37001545621264,87.3672431821977,1289,549.2990442537862
iperf_node1_node4_rB_P8,B,8,single,110.93679232829435,110.92579288597331,0,159.40434253967686
iperf_dd_rA_P1_rep1,A,1,single,45.20209986655594,45.19697352590658,0,51.6514125295325
iperf_node1_node3_rA_P8,A,8,single,111.0492775145158,111.04045394591267,0,157.86419345484686
iperf_dd_rB_P8_rep1,B,8,single,111.06764499495218,111.06274131709567,0,170.16598513654074
iperf_dd_rB_P4_rep1,B,4,single,110.20619421557076,110.20378748788904,0,163.16123674726242
iperf_dd_rB_P4_rep2,B,4,single,110.43787012633784,110.43456203674228,0,170.3448862886305
iperf_dd_rA_P4_rep1,A,4,single,110.37687541552751,110.37356428586689,0,166.36754965585226
iperf_dd_rB_P8_rep3,B,8,single,111.03076149287452,111.02612379626449,0,164.96551311863033
iperf_dd_rA_P8_rep1,A,8,single,111.04732778930455,111.04234529670882,0,163.64771809972893
iperf_dd_rA_P1_rep2,A,1,single,44.26602709814174,44.263334536982,0,32.326613423607625
iperf_dd_rB_P8_rep2,B,8,single,111.03170883342844,111.02752097936619,0,169.00482041553568
iperf_node1_node3_rB_P8,B,8,single,111.01826422749352,111.01139324781587,0,169.06404143770413
iperf_dd_rB_P4_rep3,B,4,single,110.61080563446983,110.60374887580126,0,159.86797814041566
iperf_node1_node2_rB_P8,B,8,single,111.04522255467278,111.03746593932868,0,169.2289322681031
iperf_dd_rA_P1_rep3,A,1,single,48.41701481358624,48.41604009085719,0,48.1691424841535
