run,pair,rail,test,us_2B_typ,us_2B_max,us_4KB,us_64KB,us_1MB
pt_wlat_node2node3_rB,node2node3,B,ib_write_lat,2.53,3.1,4.22,9.99,83.3
pt_wlat_node2node4_rA,node2node4,A,ib_write_lat,3.04,3.49,4.74,10.78,83.89
pt_wlat_node2node4_rB,node2node4,B,ib_write_lat,2.78,3.32,4.5,10.47,83.64
pt_slat_node2node4_rA,node2node4,A,ib_send_lat,3.01,3.42,4.77,10.66,83.81
pt_wlat_node2node3_rA,node2node3,A,ib_write_lat,2.76,3.5,4.45,10.62,83.52
pt_slat_node2node4_rB,node2node4,B,ib_send_lat,2.77,3.53,4.53,10.32,83.71
pt_slat_node2node3_rA,node2node3,A,ib_send_lat,2.73,3.79,4.5,10.34,83.56
pt_slat_node2node3_rB,node2node3,B,ib_send_lat,2.5,3.08,4.27,9.98,83.38
pt_wlat_node3node4_rB,node3node4,B,ib_write_lat,2.81,3.44,4.51,10.88,83.79
pt_wlat_node3node4_rA,node3node4,A,ib_write_lat,2.78,3.16,4.49,10.35,83.52
pt_slat_node3node4_rB,node3node4,B,ib_send_lat,2.76,3.52,4.55,11.28,83.96
pt_slat_node3node4_rA,node3node4,A,ib_send_lat,2.76,6.37,4.54,10.27,83.57
pt_slat_node1node3_rB,node1node3,B,ib_send_lat,2.77,3.54,4.54,10.31,83.69
pt_wlat_node1node4_rB,node1node4,B,ib_write_lat,3.06,4.7,4.76,10.9,83.94
pt_slat_node1node4_rB,node1node4,B,ib_send_lat,3.02,3.79,4.86,10.65,84.0
pt_wlat_node1node4_rA,node1node4,A,ib_write_lat,3.06,5.98,4.78,10.86,83.9
pt_slat_node1node3_rA,node1node3,A,ib_send_lat,2.77,3.21,4.54,10.3,83.57
pt_wlat_node1node2_rA,node1node2,A,ib_write_lat,3.03,3.28,4.71,10.83,83.8
pt_slat_node1node2_rB,node1node2,B,ib_send_lat,2.77,3.39,4.56,10.29,83.65
pt_wlat_node1node2_rB,node1node2,B,ib_write_lat,2.8,4.35,4.52,10.38,83.59
pt_slat_node1node4_rA,node1node4,A,ib_send_lat,3.03,8.67,4.81,10.82,83.9
pt_wlat_node1node3_rB,node1node3,B,ib_write_lat,2.82,4.66,4.52,10.4,83.63
pt_wlat_node1node3_rA,node1node3,A,ib_write_lat,2.78,3.06,4.46,10.36,83.5
pt_slat_node1node2_rA,node1node2,A,ib_send_lat,3.01,3.63,4.78,10.69,83.96
