run,collective,nodes,mode,rep,transport,size,time_us,algbw,busbw
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,1024,28.9,0.04,0.04
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,2048,28.91,0.07,0.07
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,4096,29.42,0.14,0.14
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,8192,31.53,0.26,0.26
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,16384,35.11,0.47,0.47
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,32768,42.14,0.78,0.78
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,65536,67.88,0.97,0.97
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,131072,65.25,2.01,2.01
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,262144,150.71,1.74,1.74
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,524288,458.28,1.14,1.14
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,1048576,1056.65,0.99,0.99
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,2097152,687.58,3.05,3.05
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,4194304,691.56,6.07,6.07
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,8388608,749.25,11.2,11.2
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,16777216,977.96,17.16,17.16
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,33554432,1593.1,21.06,21.06
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,67108864,3230.88,20.77,20.77
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,134217728,6807.47,19.72,19.72
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,268435456,13621.9,19.71,19.71
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,536870912,23461.0,22.88,22.88
nccl_all_reduce_perf_np2_dual_rep1,all_reduce,2,dual,1,IB,1073741824,45397.6,23.65,23.65
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,1024,29.33,0.03,0.03
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,2048,30.74,0.07,0.07
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,4096,31.32,0.13,0.13
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,8192,33.43,0.25,0.25
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,16384,36.13,0.45,0.45
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,32768,59.26,0.55,0.55
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,65536,70.42,0.93,0.93
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,131072,76.7,1.71,1.71
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,262144,145.19,1.81,1.81
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,524288,425.59,1.23,1.23
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,1048576,1042.56,1.01,1.01
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,2097152,674.25,3.11,3.11
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,4194304,690.22,6.08,6.08
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,8388608,750.85,11.17,11.17
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,16777216,999.04,16.79,16.79
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,33554432,1584.57,21.18,21.18
nccl_all_reduce_perf_np2_dual_rep2,all_reduce,2,dual,2,IB,67108864,3228.91,20.78,20.78
