collective,nodes,mode,transport,size,time_us,algbw,busbw,busbw_sd
all_reduce,2,dual,IB,32768,50.73,0.66,0.66,0.094
all_reduce,2,dual,IB,1048576,1037.31,1.01,1.01,0.021
all_reduce,2,dual,IB,67108864,3237.47,20.73,20.73,0.068
all_reduce,2,dual,IB,1073741824,45438.53,23.63,23.63,0.014
all_reduce,2,single,IB,32768,42.82,0.77,0.77,0.031
all_reduce,2,single,IB,1048576,1033.82,1.02,1.02,0.025
all_reduce,2,single,IB,67108864,5627.18,11.93,11.93,0.11
all_reduce,2,single,IB,1073741824,77710.0,13.82,13.82,0.005
all_reduce,2,tcp,Socket,32768,481.24,0.07,0.07,0.005
all_reduce,2,tcp,Socket,1048576,3920.27,0.27,0.27,0.008
all_reduce,2,tcp,Socket,67108864,39693.97,1.69,1.69,0.059
all_reduce,2,tcp,Socket,1073741824,497725.67,2.16,2.16,0.026
all_reduce,4,dual,IB,32768,52.14,0.63,0.94,0.024
all_reduce,4,dual,IB,1048576,1156.14,0.91,1.36,0.016
all_reduce,4,dual,IB,67108864,4400.45,15.25,22.88,0.099
all_reduce,4,dual,IB,1073741824,69670.87,15.41,23.12,0.07
all_reduce,4,single,IB,32768,57.53,0.57,0.86,0.065
all_reduce,4,single,IB,1048576,1181.14,0.89,1.33,0.041
all_reduce,4,single,IB,67108864,8466.55,7.93,11.89,0.232
all_reduce,4,single,IB,1073741824,131581.33,8.16,12.25,0.23
all_reduce,4,tcp,Socket,32768,1419.15,0.03,0.04,0.005
all_reduce,4,tcp,Socket,1048576,7637.77,0.14,0.2,0.009
all_reduce,4,tcp,Socket,67108864,58178.1,1.15,1.73,0.014
all_reduce,4,tcp,Socket,1073741824,838478.33,1.28,1.92,0.029
alltoall,2,dual,IB,32768,35.3,0.94,0.47,0.039
alltoall,2,dual,IB,1048576,80.5,13.12,6.56,0.559
alltoall,2,dual,IB,67108864,1677.1,40.02,20.01,0.196
alltoall,2,dual,IB,1073741824,25909.73,41.44,20.72,0.123
alltoall,2,single,IB,32768,32.74,1.01,0.51,0.057
alltoall,2,single,IB,1048576,87.29,12.01,6.01,0.06
alltoall,2,single,IB,67108864,2821.17,23.79,11.89,0.039
alltoall,2,single,IB,1073741824,44292.93,24.24,12.12,0.057
alltoall,2,tcp,Socket,32768,236.59,0.15,0.07,0.026
alltoall,2,tcp,Socket,1048576,536.67,2.04,1.02,0.198
alltoall,2,tcp,Socket,67108864,17008.93,3.95,1.97,0.041
alltoall,2,tcp,Socket,1073741824,266826.33,4.03,2.01,0.045
alltoall,4,dual,IB,32768,28.78,1.14,0.86,0.064
alltoall,4,dual,IB,1048576,86.63,12.14,9.1,0.486
alltoall,4,dual,IB,67108864,2269.46,29.57,22.18,0.088
alltoall,4,dual,IB,1073741824,35709.17,30.07,22.55,0.048
alltoall,4,single,IB,32768,25.69,1.29,0.97,0.098
alltoall,4,single,IB,1048576,111.13,9.46,7.1,0.375
alltoall,4,single,IB,67108864,4296.56,15.63,11.72,0.263
alltoall,4,single,IB,1073741824,65262.23,16.45,12.34,0.042
alltoall,4,tcp,Socket,32768,342.01,0.1,0.07,0.005
alltoall,4,tcp,Socket,1048576,583.38,1.8,1.35,0.057
alltoall,4,tcp,Socket,67108864,25960.3,2.59,1.94,0.091
alltoall,4,tcp,Socket,1073741824,397656.67,2.7,2.03,0.094
sendrecv,2,dual,IB,32768,32.85,1.0,1.0,0.051
sendrecv,2,dual,IB,1048576,101.74,10.34,10.34,0.611
sendrecv,2,dual,IB,67108864,3091.22,21.71,21.71,0.2
sendrecv,2,dual,IB,1073741824,48325.3,22.22,22.22,0.105
sendrecv,2,single,IB,32768,32.88,1.0,1.0,0.059
sendrecv,2,single,IB,1048576,138.04,7.61,7.61,0.27
sendrecv,2,single,IB,67108864,5575.74,12.04,12.04,0.029
sendrecv,2,single,IB,1073741824,88477.83,12.14,12.14,0.009
sendrecv,2,tcp,Socket,32768,294.83,0.12,0.12,0.025
sendrecv,2,tcp,Socket,1048576,920.99,1.14,1.14,0.051
sendrecv,2,tcp,Socket,67108864,33343.2,2.01,2.01,0.024
sendrecv,2,tcp,Socket,1073741824,527227.67,2.04,2.04,0.071
sendrecv,4,dual,IB,32768,28.32,1.16,1.16,0.065
sendrecv,4,dual,IB,1048576,94.05,11.15,11.15,0.186
sendrecv,4,dual,IB,67108864,3073.69,21.83,21.83,0.09
sendrecv,4,dual,IB,1073741824,48247.2,22.26,22.26,0.066
sendrecv,4,single,IB,32768,30.99,1.08,1.08,0.15
sendrecv,4,single,IB,1048576,132.92,7.89,7.89,0.23
sendrecv,4,single,IB,67108864,5556.56,12.08,12.08,0.034
sendrecv,4,single,IB,1073741824,88383.37,12.15,12.15,0.008
sendrecv,4,tcp,Socket,32768,245.0,0.14,0.14,0.017
sendrecv,4,tcp,Socket,1048576,662.23,1.58,1.58,0.005
sendrecv,4,tcp,Socket,67108864,30564.23,2.19,2.19,0.04
sendrecv,4,tcp,Socket,1073741824,493067.33,2.18,2.18,0.037
