run,rocep1s0f0:out_of_sequence,rocep1s0f0:packet_seq_err,rocep1s0f0:np_cnp_sent,rocep1s0f0:rp_cnp_handled,roceP2p1s0f0:np_cnp_sent,roceP2p1s0f0:rp_cnp_handled,tcp_retransmits,roceP2p1s0f0:out_of_sequence,roceP2p1s0f0:packet_seq_err
nccl_all_reduce_perf_np2_single_rep1,1115.0,1115.0,78.0,78.0,78.0,78.0,0.0,0.0,0.0
nccl_all_reduce_perf_np4_single_rep3,5678.0,5678.0,462.0,462.0,462.0,462.0,0.0,0.0,0.0
iperf_node2_node3_rB_P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iperf_node2_node3_rA_P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nccl_all_reduce_perf_np4_dual_rep2,2216.0,2216.0,729.0,729.0,729.0,729.0,0.0,2172.0,2172.0
nccl_alltoall_perf_np4_dual_rep2,25.0,25.0,26.0,26.0,26.0,26.0,0.0,22.0,22.0
nccl_all_reduce_perf_np2_dual_rep3,1069.0,1069.0,308.0,308.0,308.0,308.0,0.0,1059.0,1059.0
iperf_node2_node1_rB_P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nccl_all_reduce_perf_np2_single_rep2,1296.0,1296.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0
nccl_all_reduce_perf_np2_single_rep3,851.0,851.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0
nccl_alltoall_perf_np4_dual_rep1,8.0,8.0,10.0,10.0,10.0,10.0,0.0,7.0,7.0
iperf_node2_node4_rB_P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nccl_all_reduce_perf_np2_dual_rep2,600.0,600.0,213.0,213.0,213.0,213.0,0.0,607.0,607.0
nccl_all_reduce_perf_np4_single_rep2,6160.0,6160.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
nccl_all_reduce_perf_np4_dual_rep3,2092.0,2092.0,725.0,725.0,725.0,725.0,0.0,1950.0,1950.0
nccl_all_reduce_perf_np4_dual_rep1,2123.0,2123.0,824.0,824.0,824.0,824.0,0.0,2199.0,2199.0
nccl_all_reduce_perf_np2_dual_rep1,330.0,330.0,111.0,111.0,111.0,111.0,0.0,343.0,343.0
nccl_alltoall_perf_np4_dual_rep3,11.0,11.0,11.0,11.0,11.0,11.0,0.0,12.0,12.0
iperf_node2_node4_rA_P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nccl_all_reduce_perf_np4_single_rep1,8365.0,8364.0,741.0,741.0,741.0,741.0,0.0,0.0,0.0
iperf_node2_node1_rA_P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iperf_node4_node3_rA_P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iperf_node4_node2_rA_P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iperf_node4_node1_rA_P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iperf_node4_node2_rB_P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
