run,bytes_railA,bytes_railB,balance_A_over_B
nccl_all_reduce_perf_np2_single_rep1,1957626405068,0,inf
nccl_all_reduce_perf_np4_single_rep3,5876281635808,0,inf
nccl_sendrecv_perf_np4_single_rep3,3920558684768,0,inf
pt_wlat_node2node3_rB,0,34037540064,0.0
pt_wlat_node2node4_rA,34037540000,0,inf
nccl_sendrecv_perf_np2_dual_rep2,978561329012,978317561968,1.0
nccl_sendrecv_perf_np2_single_rep1,1958354151336,0,inf
pt_wbw_node2node3_rB,0,85092176620,0.0
pt_wbw_node2node4_rA,85093114556,0,inf
nccl_all_reduce_perf_np4_dual_rep2,2939192577428,2939026731480,1.0
pt_wlat_node2node4_rB,0,34037540064,0.0
nccl_alltoall_perf_np4_dual_rep2,1471100723592,1469623386468,1.001
nccl_sendrecv_perf_np4_single_rep1,3920572098396,0,inf
pt_slat_node2node4_rA,34036805364,0,inf
nccl_all_reduce_perf_np2_dual_rep3,978447759540,978418447100,1.0
pt_wlat_node2node3_rA,34037540000,0,inf
nccl_sendrecv_perf_np4_single_rep2,3920527115072,0,inf
nccl_alltoall_perf_np4_single_rep1,2945152888356,0,inf
nccl_sendrecv_perf_np2_single_rep2,1958357552796,0,inf
pt_wbw_node2node4_rB,0,85092178420,0.0
nccl_alltoall_perf_np2_dual_rep1,489422199800,489177973648,1.0
pt_slat_node2node4_rB,0,34036805360,0.0
nccl_sendrecv_perf_np4_dual_rep1,1959247013940,1958763055736,1.0
pt_slat_node2node3_rA,34036805424,0,inf
nccl_alltoall_perf_np4_single_rep3,2945200940148,0,inf
nccl_all_reduce_perf_np2_single_rep2,1957656504712,0,inf
nccl_all_reduce_perf_np2_single_rep3,1957601133068,0,inf
nccl_alltoall_perf_np2_single_rep3,979187672160,0,inf
nccl_alltoall_perf_np4_dual_rep1,1471076148104,1469596799712,1.001
nccl_all_reduce_perf_np2_dual_rep2,978374123764,978344342952,1.0
nccl_all_reduce_perf_np4_single_rep2,5876342917316,0,inf
nccl_all_reduce_perf_np4_dual_rep3,2939113509016,2938948290416,1.0
nccl_alltoall_perf_np2_single_rep2,979187057288,0,inf
nccl_sendrecv_perf_np2_dual_rep1,978559657584,978316076260,1.0
nccl_alltoall_perf_np4_single_rep2,2945261369292,0,inf
nccl_alltoall_perf_np2_dual_rep2,489428353008,489181247820,1.001
nccl_sendrecv_perf_np2_dual_rep3,978558093612,978314338740,1.0
nccl_all_reduce_perf_np4_dual_rep1,2939412681492,2939177267176,1.0
nccl_alltoall_perf_np2_single_rep1,979178730168,0,inf
nccl_all_reduce_perf_np2_dual_rep1,978330616156,978301398512,1.0
nccl_sendrecv_perf_np4_dual_rep3,1959243996492,1958757736804,1.0
nccl_alltoall_perf_np4_dual_rep3,1471099083964,1469617513244,1.001
nccl_sendrecv_perf_np4_dual_rep2,1959244432304,1958757268196,1.0
pt_slat_node2node3_rB,0,34036805360,0.0
nccl_sendrecv_perf_np2_single_rep3,1958360404940,0,inf
pt_wbw_node2node3_rA,85093136380,0,inf
nccl_all_reduce_perf_np4_single_rep1,5878634989136,0,inf
nccl_alltoall_perf_np2_dual_rep3,489428884856,489183469608,1.001
pt_wlat_node3node4_rB,0,34037540064,0.0
pt_wlat_node3node4_rA,34037540000,0,inf
pt_slat_node3node4_rB,0,34036805364,0.0
pt_wbw_node3node4_rB,0,85092244136,0.0
pt_slat_node3node4_rA,34036805364,0,inf
pt_wbw_node3node4_rA,85092461076,0,inf
pt_slat_node1node3_rB,0,34036805428,0.0
pt_wlat_node1node4_rB,0,34037540000,0.0
pt_slat_node1node4_rB,0,34036805360,0.0
pt_wbw_node1node4_rA,85093264472,0,inf
pt_wlat_node1node4_rA,34037540064,0,inf
pt_slat_node1node3_rA,34036805364,0,inf
pt_wbw_node1node3_rB,0,85093193852,0.0
pt_wbw_node1node2_rA,85093843676,0,inf
pt_wbw_node1node2_rB,0,85093751792,0.0
pt_wlat_node1node2_rA,34037540252,0,inf
pt_wbw_node1node3_rA,85093217912,0,inf
pt_slat_node1node2_rB,0,34036805492,0.0
pt_wlat_node1node2_rB,0,34037540120,0.0
pt_q4_n1n2,284214694340,0,inf
pt_slat_node1node4_rA,34036805360,0,inf
pt_wbw_node1node4_rB,0,85093084548,0.0
pt_wlat_node1node3_rB,0,34037540124,0.0
pt_wlat_node1node3_rA,34037540124,0,inf
pt_dual_n1n2,248745958116,248754467124,1.0
pt_slat_node1node2_rA,34036805360,0,inf
