collective,nodes,size,dual,single,tcp,scaling_2r_over_1r
all_reduce,2,1024,0.03333333333333333,0.02,0.0033333333333333335,1.667
all_reduce,2,2048,0.07,0.06,0.006666666666666667,1.167
all_reduce,2,4096,0.13,0.1366666666666667,0.013333333333333334,0.951
all_reduce,2,8192,0.24,0.22666666666666668,0.03333333333333333,1.059
all_reduce,2,16384,0.45999999999999996,0.47,0.05000000000000001,0.979
all_reduce,2,32768,0.66,0.7666666666666666,0.06666666666666667,0.861
all_reduce,2,65536,0.9433333333333334,0.8733333333333334,0.11333333333333333,1.08
all_reduce,2,131072,1.8233333333333333,1.7766666666666666,0.17666666666666667,1.026
all_reduce,2,262144,1.7966666666666669,1.7566666666666666,0.18333333333333335,1.023
all_reduce,2,524288,1.16,1.07,0.26,1.084
all_reduce,2,1048576,1.0133333333333334,1.0166666666666666,0.27,0.997
all_reduce,2,2097152,3.1166666666666667,2.983333333333333,0.37666666666666665,1.045
all_reduce,2,4194304,6.053333333333334,5.676666666666667,0.61,1.066
all_reduce,2,8388608,11.163333333333332,9.546666666666667,0.9500000000000001,1.169
all_reduce,2,16777216,17.05,11.836666666666666,1.04,1.44
all_reduce,2,33554432,21.076666666666664,12.353333333333333,1.3399999999999999,1.706
all_reduce,2,67108864,20.726666666666667,11.926666666666668,1.6933333333333334,1.738
all_reduce,2,134217728,19.63,11.526666666666666,1.93,1.703
all_reduce,2,268435456,20.526666666666667,12.443333333333333,2.08,1.65
all_reduce,2,536870912,22.816666666666663,13.663333333333334,2.1166666666666667,1.67
all_reduce,2,1073741824,23.63,13.816666666666668,2.1566666666666667,1.71
all_reduce,4,1024,0.04,0.04,0.0,1.0
all_reduce,4,2048,0.06,0.06333333333333334,0.0,0.947
all_reduce,4,4096,0.13333333333333333,0.13333333333333333,0.006666666666666667,1.0
all_reduce,4,8192,0.25,0.26,0.01,0.962
all_reduce,4,16384,0.4566666666666667,0.4633333333333334,0.02,0.986
all_reduce,4,32768,0.9433333333333334,0.86,0.03666666666666667,1.097
all_reduce,4,65536,1.5599999999999998,1.46,0.06666666666666667,1.068
all_reduce,4,131072,1.6966666666666665,1.6733333333333331,0.09333333333333334,1.014
all_reduce,4,262144,2.34,2.3666666666666667,0.17333333333333334,0.989
all_reduce,4,524288,1.49,1.4333333333333333,0.19999999999999998,1.04
all_reduce,4,1048576,1.36,1.3333333333333333,0.20333333333333334,1.02
all_reduce,4,2097152,2.55,2.436666666666667,0.3233333333333333,1.047
all_reduce,4,4194304,5.916666666666667,5.63,0.7799999999999999,1.051
all_reduce,4,8388608,10.916666666666666,9.71,1.1466666666666665,1.124
all_reduce,4,16777216,18.823333333333334,11.803333333333333,1.4666666666666668,1.595
all_reduce,4,33554432,22.886666666666667,11.57,1.5833333333333333,1.978
all_reduce,4,67108864,22.876666666666665,11.893333333333333,1.7299999999999998,1.923
all_reduce,4,134217728,22.526666666666667,11.656666666666666,1.82,1.933
all_reduce,4,268435456,21.32,11.546666666666667,1.88,1.846
all_reduce,4,536870912,20.349999999999998,11.313333333333333,1.9266666666666665,1.799
all_reduce,4,1073741824,23.116666666666664,12.246666666666668,1.92,1.888
alltoall,2,1024,0.02,0.02,0.0,1.0
alltoall,2,2048,0.03333333333333333,0.03,0.0033333333333333335,1.111
alltoall,2,4096,0.08,0.07666666666666667,0.01,1.043
alltoall,2,8192,0.13333333333333333,0.14333333333333334,0.02,0.93
alltoall,2,16384,0.2833333333333334,0.29333333333333333,0.05333333333333334,0.966
alltoall,2,32768,0.4666666666666666,0.5099999999999999,0.07333333333333333,0.915
alltoall,2,65536,1.0033333333333332,0.9833333333333334,0.14333333333333334,1.02
alltoall,2,131072,1.8533333333333333,1.72,0.27,1.078
alltoall,2,262144,2.6333333333333333,2.5033333333333334,0.47333333333333333,1.052
alltoall,2,524288,5.236666666666667,4.213333333333334,0.73,1.243
alltoall,2,1048576,6.56,6.006666666666667,1.0199999999999998,1.092
alltoall,2,2097152,9.906666666666666,7.44,1.2766666666666666,1.332
alltoall,2,4194304,12.699999999999998,9.166666666666666,1.5899999999999999,1.385
alltoall,2,8388608,15.87,10.363333333333335,1.84,1.531
alltoall,2,16777216,17.53,11.203333333333333,1.8766666666666667,1.565
alltoall,2,33554432,19.069999999999997,11.616666666666667,1.9400000000000002,1.642
alltoall,2,67108864,20.006666666666664,11.893333333333333,1.9733333333333334,1.682
alltoall,2,134217728,20.44333333333333,12.036666666666667,1.9966666666666668,1.698
alltoall,2,268435456,20.586666666666666,12.093333333333334,1.96,1.702
alltoall,2,536870912,20.643333333333334,12.063333333333333,2.02,1.711
alltoall,2,1073741824,20.723333333333333,12.123333333333335,2.013333333333333,1.709
alltoall,4,1024,0.03,0.03,0.0,1.0
alltoall,4,2048,0.05333333333333334,0.04666666666666667,0.0,1.143
alltoall,4,4096,0.12,0.12,0.01,1.0
alltoall,4,8192,0.25666666666666665,0.23666666666666666,0.02,1.085
alltoall,4,16384,0.4633333333333334,0.47000000000000003,0.03666666666666667,0.986
alltoall,4,32768,0.86,0.9700000000000001,0.07333333333333335,0.887
alltoall,4,65536,1.6566666666666665,1.53,0.15666666666666668,1.083
alltoall,4,131072,2.6366666666666667,2.7099999999999995,0.32666666666666666,0.973
alltoall,4,262144,3.8033333333333332,4.19,0.54,0.908
alltoall,4,524288,5.34,5.29,0.9633333333333334,1.009
alltoall,4,1048576,9.103333333333333,7.1000000000000005,1.3499999999999999,1.282
alltoall,4,2097152,12.046666666666667,9.11,1.6033333333333335,1.322
alltoall,4,4194304,15.549999999999999,10.49,1.72,1.482
alltoall,4,8388608,17.650000000000002,11.37,1.9066666666666665,1.552
alltoall,4,16777216,19.646666666666665,11.37,1.9133333333333333,1.728
alltoall,4,33554432,21.55,11.753333333333332,1.9466666666666665,1.834
alltoall,4,67108864,22.176666666666666,11.719999999999999,1.9433333333333334,1.892
alltoall,4,134217728,22.19333333333333,12.073333333333332,2.026666666666667,1.838
alltoall,4,268435456,22.39,12.106666666666667,2.026666666666667,1.849
alltoall,4,536870912,22.599999999999998,12.236666666666666,2.013333333333333,1.847
alltoall,4,1073741824,22.55333333333333,12.336666666666666,2.03,1.828
sendrecv,2,1024,0.03666666666666667,0.04,0.0,0.917
sendrecv,2,2048,0.06666666666666667,0.06,0.01,1.111
sendrecv,2,4096,0.14333333333333334,0.1366666666666667,0.013333333333333334,1.049
sendrecv,2,8192,0.27666666666666667,0.2866666666666667,0.03,0.965
sendrecv,2,16384,0.5666666666666667,0.5,0.06,1.133
sendrecv,2,32768,1.0,1.0033333333333332,0.11666666666666665,0.997
sendrecv,2,65536,1.6433333333333333,1.71,0.22,0.961
sendrecv,2,131072,2.59,2.6300000000000003,0.3466666666666667,0.985
sendrecv,2,262144,4.663333333333333,4.153333333333333,0.56,1.123
sendrecv,2,524288,7.140000000000001,5.826666666666667,0.89,1.225
sendrecv,2,1048576,10.34,7.6066666666666665,1.14,1.359
sendrecv,2,2097152,13.540000000000001,9.25,1.62,1.464
sendrecv,2,4194304,16.88,10.433333333333332,1.8266666666666669,1.618
sendrecv,2,8388608,19.0,11.200000000000001,1.9166666666666667,1.696
sendrecv,2,16777216,20.47666666666667,11.566666666666668,1.9366666666666665,1.77
sendrecv,2,33554432,21.293333333333333,11.883333333333335,1.9966666666666668,1.792
sendrecv,2,67108864,21.713333333333335,12.036666666666667,2.013333333333333,1.804
sendrecv,2,134217728,21.99333333333333,12.06,1.9966666666666668,1.824
sendrecv,2,268435456,22.126666666666665,12.106666666666667,2.0066666666666664,1.828
sendrecv,2,536870912,22.13,12.12,2.03,1.826
sendrecv,2,1073741824,22.21666666666667,12.136666666666668,2.04,1.831
sendrecv,4,1024,0.04,0.04666666666666667,0.0,0.857
sendrecv,4,2048,0.07,0.08333333333333333,0.01,0.84
sendrecv,4,4096,0.18666666666666668,0.18000000000000002,0.02,1.037
sendrecv,4,8192,0.36000000000000004,0.35000000000000003,0.03333333333333333,1.029
sendrecv,4,16384,0.6033333333333334,0.6666666666666666,0.07,0.905
sendrecv,4,32768,1.16,1.08,0.1366666666666667,1.074
sendrecv,4,65536,2.02,1.9866666666666666,0.24333333333333332,1.017
sendrecv,4,131072,2.6233333333333335,2.796666666666667,0.47333333333333333,0.938
sendrecv,4,262144,5.376666666666666,4.416666666666667,0.7633333333333333,1.217
sendrecv,4,524288,7.716666666666666,5.736666666666667,1.1433333333333333,1.345
sendrecv,4,1048576,11.153333333333334,7.8933333333333335,1.5833333333333333,1.413
