model,label,tp,pp,ep,mode,itl_c1,measured_tok_s,roofline_tok_s,roofline_eff,MB_per_token_pass,pred_MB,ratio_raw,gpu_util_active,railB_share,node_imbalance
Llama-3.1-8B-Instruct,l8_pp2,1,2,0,dual,72.103,13.869,17.062,0.813,0.018,8192.0,2.138,95.503,15.134726692711766,29.429
Llama-3.1-8B-Instruct,l8_pp4,1,4,0,dual,68.798,14.535,17.062,0.852,0.053,24576.0,2.161,95.437,15.086836188856639,27.103
Llama-3.1-8B-Instruct,l8_tp1,1,1,0,dual,68.774,14.54,17.062,0.852,0.0,0.0,,95.776,,
Llama-3.1-8B-Instruct,l8_tp2,2,1,0,dual,37.787,26.464,34.125,0.775,2.078,1048576.0,1.982,93.904,32.22238106686398,1.0
Llama-3.1-8B-Instruct,l8_tp2pp2,2,2,0,dual,39.364,25.404,34.125,0.744,2.456,1056768.0,2.325,94.667,31.8163936279268,1.226
Llama-3.1-8B-Instruct,l8_tp4,4,1,0,dual,27.792,35.981,68.25,0.527,6.864,3145728.0,2.182,92.599,32.5448265317126,1.004
Llama-3.3-70B-Instruct,l70_pp2,1,2,0,dual,593.361,1.685,1.95,0.864,0.036,16384.0,2.195,95.95,15.562035695661862,46.868
Llama-3.3-70B-Instruct,l70_pp4,1,4,0,dual,595.586,1.679,1.95,0.861,0.1,49152.0,2.043,95.937,15.5785313029226,44.47
Llama-3.3-70B-Instruct,l70_tp2,2,1,0,dual,298.521,3.35,3.9,0.859,8.211,5242880.0,1.566,95.823,49.975796359038156,1.0
Llama-3.3-70B-Instruct,l70_tp2pp2,2,2,0,dual,312.699,3.198,3.9,0.82,8.681,5259264.0,1.651,95.87,49.83682560863781,1.054
Llama-3.3-70B-Instruct,l70_tp4,4,1,0,dual,166.92,5.991,7.8,0.768,29.79,15728640.0,1.894,95.494,31.024779414737115,1.002
Llama-3.3-70B-Instruct,l70_tp4,4,1,0,tcp,333.375,3.0,7.8,0.385,0.0,15728640.0,0.0,95.892,,
Qwen3-30B-A3B-Instruct-2507,q30_pp2,1,2,0,dual,31.185,32.067,45.5,0.705,0.009,4096.0,2.141,93.586,0.35016900543574075,23.469
Qwen3-30B-A3B-Instruct-2507,q30_pp4,1,4,0,dual,32.075,31.177,45.5,0.685,0.026,12288.0,2.134,94.89,0.36506025078188586,24.539
Qwen3-30B-A3B-Instruct-2507,q30_tp1,1,1,0,dual,30.913,32.349,45.5,0.711,0.0,0.0,,93.632,,
Qwen3-30B-A3B-Instruct-2507,q30_tp2,2,1,0,dual,20.107,49.735,91.0,0.547,1.705,786432.0,2.169,91.048,32.79694391954782,1.0
Qwen3-30B-A3B-Instruct-2507,q30_tp2_ep,2,1,1,dual,22.209,45.026,91.0,0.495,1.698,1966080.0,0.864,91.802,32.807159887827105,1.0
Qwen3-30B-A3B-Instruct-2507,q30_tp2pp2,2,2,0,dual,21.138,47.307,91.0,0.52,1.73,790528.0,2.189,91.164,32.58869529960609,1.405
Qwen3-30B-A3B-Instruct-2507,q30_tp2pp2_ep,2,2,1,dual,23.559,42.447,91.0,0.466,1.732,1970176.0,0.879,92.841,32.57760360634115,1.401
Qwen3-30B-A3B-Instruct-2507,q30_tp4,4,1,0,dual,15.113,66.167,182.0,0.364,6.118,2359296.0,2.593,89.987,33.075490556847974,1.002
Qwen3-30B-A3B-Instruct-2507,q30_tp4,4,1,0,tcp,84.628,11.816,182.0,0.065,0.0,2359296.0,0.0,95.521,,
Qwen3-30B-A3B-Instruct-2507,q30_tp4_ep,4,1,1,dual,18.052,55.395,182.0,0.304,6.108,3538944.0,1.726,90.699,33.09212801748515,1.002
